Taylion High Desert Academy/Adelanto,Adelanto,92301,https://www.taylion.com/high-desert/
Alice M. Ellington Elementary,Covina,91722,https://www.azusa.org/Domain/9
Rail Road Flat Elementary,Rail Road Flat,95248,http://rrf.custudents.net/
Victor F. Hodge Elementary,Azusa,91702,https://www.azusa.org/hodge
Thomas P. Ryan Elementary,San Jose,95127,https://ryan.arusd.org/
ICEF Inglewood Middle Charter Academy,Inglewood,90301,https://iies.icefps.org/
Enterprise Alternative,Clovis,93611,https://gateway.cusd.com/Enterprise.aspx
Burrel Elementary,Riverdale,93656,https://www.burrel.k12.ca.us/
KIPP Bridge Academy,Oakland,94607,https://bridge.kippnorcal.org/
Douglas J. Miller Elementary,Bakersfield,93313,https://ca01902269.schoolwires.net/Page/2795
Community Roots Academy,Laguna Niguel,92677,https://www.learningcommunities.org/
Temecula International Academy,Temecula,95291,https://www.temeculainternational.org/
Gauer (Melbourne A.) Elementary,Anaheim,92801,https://anaheimelementary.org/gauer/
Promenade Elementary,Corona,91719,https://www.alvordschools.org/promenade
Cienega Elementary,Hollister,95023,https://www.sbcoe.org/District/1243-Untitled.html
Mission Academy,Acton,93510,https://missionacademyhs.org/high-school-diploma-in-some_city/enroll/
Butte Valley Elementary,Dorris,97601,https://bves-bvalusd-ca.schoolloop.com/
The Education Corps,Long Beach,90807,https://www.laedcorps.org/contact.html
Alview Elementary,Chowchilla,93610,https://www.adusd.k12.ca.us/domain/12
Capay Joint Union Elementary,Orland,95963,https://www.cjuesd.org/
O. S. Hubbard Elementary,San Jose,95122,https://hubbard.arusd.org/
Jim?nez Roberto and Dr. Francisco Elementary,Santa Maria,93458,https://ji-smbsd-ca.schoolloop.com/
Options for Youth San Gabriel,San Gabriel,91776,https://sangabriel.ofyschools.org/
Blue Lake Union Elementary,Blue Lake,95525,https://bluelakeschool.org/
Museum,San Diego,92103,https://www.museumschool.org/
Clovis North High,Fresno,93730,https://cnec.cusd.com/ClovisNorth_home.aspx
Gorman Learning Center San Bernardino/Santa Clarita,Santa Clarita,91387,https://gormanlcn.org/
University Prep - San Bernardino,Ontario,91764,https://up.vvuhsd.org/
Beaumont USD Preschool,Beaumont,92223,https://www.beaumontusd.us/apps/pages/index.jsp?uREC_ID=1132313&type=d&pREC_ID=1864590
Extera Public School No. 2,Los Angeles,90023,https://lorena.exteraschools.org/
Sebastopol Independent Charter,Sebastopol,95472,https://sebastopolcharter.org/
Danbury Special Education,Claremont,91711,https://sum-claremont-ca.schoolloop.com/
Ontiveros (Juan Pacifico) Elementary,Santa Maria,93458,https://on-smbsd-ca.schoolloop.com/
Anderson Community Day,Anderson,96007,https://www.auhsd.net/
Oakley (Calvin C.) Elementary,Santa Maria,93458,https://oa-smbsd-ca.schoolloop.com/
Bay Farm,Alameda,94502,https://bayfarm-alamedausd-ca.schoolloop.com/
Valiant Academy of Southern California,El Cajon,92019,https://valiantprep.org/location/valiant-academy-of-southern-california/
Lashon Academy City,Los Angeles,90018,https://lashonacademy.org/
Compass Charter Schools of Fresno,Thousand Oaks,91361,https://www.compasscharters.org/
Mojave River Academy,Oro Grande,92368,http://www.mojaveriver.net/
Amy B. Seibert Elementary,Bakersfield,93304,https://ca01902269.schoolwires.net/Page/2810
Dairyland Elementary,Chowchilla,93610,https://www.adusd.k12.ca.us/Page/29
Long Valley,Doyle,96109,https://www.longvalleycs.org/Locations/Long-Valley-School-Doyle/index.html
Borrego Springs High,Borrego Springs,92004,https://bshs.bsusd.net/
Slauson Intermediate,Azusa,91702,https://www.azusa.org/Slauson
Options For Youth - Duarte Inc,City Of Industry,91744,https://ofy-d.org/
Insight @ San Joaquin,Simi Valley,93065,https://ca.insightschools.net/
Central Unified Alternative/Opportunity,Fresno,93722,https://cl.centralunified.org/
Discovery Charter,Tracy,95376,https://dcsfalcon.weebly.com/
Charles H. Castle Elementary,Bakersfield,93309,https://ca01902269.schoolwires.net/Page/2578
Epic Charter,Oakland,94601,https://www.efcps.org/epic
Opportunities for Learning - Duarte,Monrovia,91016,https://duarte.oflschools.com/
Big Valley Jr. Sr. High,Bieber,96009,http://www.bigvalleyschool.org/Schools/Big-Valley-JrSr-High-School/index.html
Ivy Bound Acad of Math Sci and Tech Charter Mid,Sherman Oaks,91403,https://ivyboundacademy.org/
Roy A. Johnson High,Castro Valley,94546,https://royjohnson.cv.k12.ca.us/
Baker Elementary,Baker,92309,http://www.baker.k12.ca.us/index.php/baker-elementary-school
Briggs Elementary,Santa Paula,93060,https://www.briggsesd.org/briggs
Academies of the Antelope Valley,Quartz Hill,93536,https://www.avvirtualschool.org/
Caswell State Preschool,Ceres,95307,https://www.ceres.k12.ca.us/student_support/state_preschool
Arena Elementary,Point Arena,95468,http://pointarenaschools.org/aues/
James S. Fugman Elementary,Fresno,93730,https://fugman.cusd.com/
Ambassador Phillip V. Sanchez II Public Charter,Fresno,93706,https://ambsanchezcharter2.org/
South Sutter Charter,East Nicolaus,95659,https://southsuttercs.org/
Casillas (Joseph) Elementary,Chula Vista,91910,http://schools.cvesd.org/schools/casillas/Pages/default.aspx#.YAhfGeBOmlM
Fenton Avenue Charter,Lake View Terrace,91342,https://facs.fentoncharter.net/
Pacific Coast High (Continuation),Arcata,95521,https://sites.google.com/a/nohum.k12.ca.us/pchs/
Five Keys Charter (SF Sheriff's),San Bruno,94066,https://www.fivekeyscharter.org/
Antioch Charter Academy II,Antioch,94509,https://antiochcharteracademy.org/antioch-charter-academy-ii/
Scale Leadership Academy - East,Blythe,92225,https://www.scaleacademy.org/
Da Vinci Design,Hawthorne,90250,http://dvd.davincischools.org/
Da Vinci Science,El Segundo,90245,http://dvs.davincischools.org/
Bridgeville Elementary,Bridgeville,95526,https://www.greatschools.org/california/bridgeville/1001-Bridgeville-Elementary-School/
Center for Alternative Learning,Chico,95926,http://afc.chicousd.org/CAL/index.html
Stockton Collegiate International Elementary,Stockton,95202,https://www.stocktoncollegiate.org/primary-years-programme.html
Adam (William Laird) Elementary,Santa Maria,93458,https://ae-smbsd-ca.schoolloop.com/
Leadership Military Academy - Indio,Indio,92201,https://www.lmaschools.org/
Wolf Canyon Elementary,Chula Vista,91913,http://schools.cvesd.org/schools/wolfcanyon/Pages/default.aspx#.YBF3uOBOns0
Ridgecrest Elem Acad for Language Music and Sci,Ridgecrest,93555,https://rcrealms.org/
Bitterwater-Tully Elementary,King City,93930,https://www.sbcoe.k12.ca.us/District/1272-Untitled.html
Cinnabar Elementary,Petaluma,94952,https://www.cinnabar.org/
Cressey Elementary,Cressey,95312,http://www.ballicocressey.com/schools
Ballico-Cressey Community Charter,Ballico,95303,http://www.ballicocressey.com/
Henry Dalton Elementary,Azusa,91702,https://www.azusa.org/dalton
