Summit Public School: Rainier,San Jose,95127,None
PREPA TEC - Los Angeles,Huntington Park,90255,None
California STEAM San Bernardino,Ontario,91764,None
Wayne Van Horn Elementary,Bakersfield,93309,None
Aurora High (Continuation),Calexico,92231,None
Summit Preparatory Charter,Los Angeles,90011,None
Challenges Community Day,Lenwood,92311,None
Rincon High (Continuation),Carpinteria,93013,None
Yolo County Career Academy,Woodland,95776,None
Independence High (Continuation),Sutter Creek,95685,None
California Prep Sutter K-7,Ontario,91764,None
Summit Secondary,Riverside,92505,None
Eagle Creek,Cloverdale,95425,None
National University Academy Dual Language Institute,Vista,92803,None
Tule Continuation High,Alpaugh,93201,None
California Academy of Sports Science Fresno,Ontario,91764,None
Liberty Elementary,Chula Vista,91914,None
Magnolia Park,Burbank,91506,None
San Diego Neighborhood Homeschools,Oceanside,92056,None
Uplift Monterey,Ontario,91764,None
Oak Knoll Alternative,Glendora,91740,None
Inspire Charter,Acton,93510,None
Community Preparatory Academy,Los Angeles,90044,None
Atkinson Academy Charter,Carmichael,95608,None
Bellflower Alternative Education Center,Bellflower,90706,None
Summit Elementary,Riverside,92505,None
Beverly Vista Elementary,Beverly Hills,90212,None
Arrow High (Continuation),Glendora,91740,None
Donald D. Lum Elementary,Alameda,94501,None
