SCH_NAME,LCITY,LZIP
Vasquez High,Acton,93510
Meadowlark Elementary,Acton,93510
High Desert,Acton,93510
California School for the Blind,Fremont,94536
California School for the Deaf-Fremont,Fremont,94538
Manor Elementary,Fairfax,94930
White Hill Middle,Fairfax,94930
Brookside Elementary,San Anselmo,94960
Wade Thomas Elementary,San Anselmo,94960
Hidden Valley Elementary,San Anselmo,94960
California School for the Deaf-Riverside,Riverside,92506
Sierra Madre High (Continuation),New Cuyama,93254
Cuyama Valley High,New Cuyama,93254
Cuyama Elementary,New Cuyama,93254
Herlong High,Herlong,96113
Fort Sage Middle,Herlong,96113
Sierra Primary,Herlong,96113
Mt. Lassen Charter,Herlong,96113
Washington Elementary,Washington,95986
Grizzly Hill,Nevada City,95959
Twin Ridges Special Education Preschool,Nevada City,95959
Antelope Creek Elementary,Rocklin,95677
Rocklin High,Rocklin,95765
Breen Elementary,Rocklin,95765
Victory High,Rocklin,95765
Twin Oaks Elementary,Rocklin,95765
Granite Oaks Middle,Rocklin,95765
Spring View Middle,Rocklin,95677
Valley View Elementary,Rocklin,95765
Sierra Elementary,Rocklin,95677
Parker Whitney Elementary,Rocklin,95677
Rocklin Elementary,Rocklin,95677
Cobblestone Elementary,Rocklin,95765
Rock Creek Elementary,Rocklin,95765
Ruhkala Elementary,Rocklin,95765
Whitney High,Rocklin,95765
Sunset Ranch Elementary,Rocklin,95765
Rocklin Independent Charter Academy,Rocklin,95765
Topaz Preparatory Academy,Hesperia,92345
Sultana High,Hesperia,92345
Shadow Ridge,Hesperia,92345
Mesquite Trails Elementary,Hesperia,92344
Hesperia Community Day,Hesperia,92345
Hesperia High,Hesperia,92345
Mojave High,Hesperia,92345
Joshua Circle Elementary,Hesperia,92345
Juniper Elementary,Hesperia,92345
Eucalyptus Elementary,Hesperia,92345
Hesperia Junior High,Hesperia,92345
Mesa Grande Elementary,Hesperia,92345
Kingston Elementary,Hesperia,92345
Maple Elementary,Hesperia,92345
Cottonwood Elementary,Hesperia,92345
Lime Street Elementary,Hesperia,92345
Hollyvale Elementary,Victorville,92392
Carmel Elementary,Hesperia,92345
Ranchero Middle,Hesperia,92345
Cypress School of the Arts,Hesperia,92345
Canyon Ridge High,Hesperia,92344
Cedar Middle,Hesperia,92344
Mission Crest Elementary,Hesperia,92344
Krystal School of Science Math & Technology,Hesperia,92345
Oak Hills High,Oak Hills,92344
Mountain View High,Lucerne Valley,92356
Lucerne Valley Elementary,Lucerne Valley,92356
Lucerne Valley Middle,Lucerne Valley,92356
Lucerne Valley High,Lucerne Valley,92356
Hillside High,Upland,91786
Upland High,Upland,91786
Baldy View Elementary,Upland,91786
Cabrillo Elementary,Upland,91786
Citrus Elementary,Upland,91786
Foothill Knolls Academy of Innovation,Upland,91786
Magnolia Elementary,Upland,91786
Pioneer Junior High,Upland,91784
Sierra Vista Elementary,Upland,91786
Sycamore Elementary,Upland,91786
Upland Elementary,Upland,91786
Upland Junior High,Upland,91785
Valencia Elementary,Upland,91784
Pepper Tree Elementary,Upland,91784
Rio Vista School of Applied Learning,Apple Valley,92308
Sycamore Rocks Elementary,Apple Valley,92307
