Sem Yeto Continuation High,Fairfield,94533,https://www.fsusd.org/domain/4907,
Etiwanda Community Day,Etiwanda,91739,https://www.greatschools.org/california/etiwanda/24731-Etiwanda-Community-Day-School/,
Sierra Vista Middle,Covina,91723,https://www.c-vusd.org/Domain/19,
Willowbrook Middle,Compton,90222,https://wims-compton-ca.schoolloop.com/,
Ronald E. McNair Elementary,Compton,90222,https://rmnes-compton-ca.schoolloop.com/,
Martin Luther King Jr. Elementary,Hanford,93230,https://king.hanfordesd.org/,
Washington Elementary,Compton,90222,https://gwes-compton-ca.schoolloop.com/,
Franklin High,Elk Grove,95757,http://frhs.egusd.net/,
Lyndon B. Johnson Elementary,Indio,92201,https://sites.google.com/a/desertsands.us/johnson/,
Columbia Elementary,Lancaster,93535,https://www.eastsideusd.org/columbia,
Franklin Elementary,San Jose,95111,https://franklin.fmsd.org/,
California Elementary,La Puente,91744,https://ces-hlpusd-ca.schoolloop.com/,
Bennett/Kew TK-6 Elementary,Inglewood,90303,https://bennett-kew.inglewoodusd.com/,
Cooper Middle,Fresno,93705,https://www.fresnounified.org/schools/cooper,
Thomas Edison Elementary,Glendale,91204,https://www.gusd.net/edison,
Washington High,Fremont,94536,https://washington-fusd-ca.schoolloop.com/,
Susan B. Anthony Elementary,Westminster,92683,https://anthony.ggusd.us/,
Heritage Intermediate,Fontana,92336,http://his.etiwanda.org/,
Toby Johnson Middle,Elk Grove,95757,http://tjms.egusd.net/,
Helen Carr Castello Elementary,Elk Grove,95757,http://blogs.egusd.net/castello/,
A. L. Conner Elementary,Orange Cove,93646,https://conner.kcusd.com/,
Antonio Del Buono Elementary,Gilroy,95020,https://delbuono.gilroyunified.org/,
Vicentia Elementary,Corona,92882,https://vicentia.cnusd.k12.ca.us/,
Woodworth-Monroe K-8 Academy,Inglewood,90303,https://woodworth-monroe.inglewoodusd.com/,
Margaret Pauline Brown Elementary,Daly City,94015,https://www.jsd.k12.ca.us/MPBrown,
Lemon Grove Academy for the Sciences and Humanities,Lemon Grove,91945,https://lgam.lemongrovesd.net/,
