Barrel Springs Elementary,Palmdale,93550,https://www.palmdalesd.org/Page/4452
Dr. Julian Nava Learning Academy,Los Angeles,90011,https://www.drjuliannavalearningacademy.com/
Harry Wirtz Elementary,Paramount,90723,https://wirtz.pusdschools.net/
Wilson Elementary,Modesto,95354,https://wilson.mcs4kids.com/
Alvarado Elementary,Long Beach,90806,https://alvarado-lbusd-ca.schoolloop.com/
Glorietta Elementary,Orinda,94563,https://gl-orinda-ca.schoolloop.com/
Starlight Elementary,Watsonville,95076,https://star-pajaro-ca.schoolloop.com/
Prisk Elementary,Long Beach,90815,https://prisk-lbusd-ca.schoolloop.com/
Pajaro Middle,Watsonville,95076,https://pms-pajaro-ca.schoolloop.com/
Garden Grove Elementary,Reseda,91335,https://gges-lausd-ca.schoolloop.com/
East Valley Senior High,North Hollywood,91601,https://www.eastvalleyhs.net/
Eisenhower Senior High,Rialto,92376,https://kec.rialto.k12.ca.us/ehs
Dan M. Issacs Avalon High,Wilmington,90744,https://avalonhs-lausd-ca.schoolloop.com/
Almanor High (Continuation),Chester,96020,https://www.cde.ca.gov/schooldirectory/details?cdscode=32669693230034
Fruitvale Elementary,Oakland,94602,https://www.ousd.org/fruitvale
Hawes Elementary,Redwood City,94061,https://www.greatschools.org/california/redwood-city/6929-Hawes-Elementary-School/
Owensmouth Continuation,Canoga Park,91303,https://owensmouthhs-lausd-ca.schoolloop.com/
Beckman Elementary,Lodi,95240,https://beckman.lodiusd.net/
Marina West Elementary,Oxnard,93035,https://www.greatschools.org/california/oxnard/7669-Marina-West-Elementary-School/
Lanai Road Elementary,Encino,91436,https://www.lanairoad.net/
Nova Education Center,Novato,94947,https://nova.nusd.org/
Roosevelt Middle,Oakland,94606,https://www.ousd.org/roosevelt
R.J. Frank Academy of Marine Science & Engineering,Oxnard,93030,https://www.oxnardsd.org/domain/341
West Vernon Avenue Elementary,Los Angeles,90037,https://westvernon-lausd-ca.schoolloop.com/
Jackson Heights Elementary,Red Bluff,96080,https://jackson.rbuesd.org/
Norwalk High,Norwalk,90650,https://www.norwalklancers.org/
Walter J. Katnich Community Day,Lodi,95242,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=0622230&SchoolPageNum=4&ID=062223012737
Porter Ranch Community,Porter Ranch,91326,https://www.tollbrothers.com/luxury-homes-for-sale/California/Porter-Ranch
Hooper Avenue Elementary,Los Angeles,90011,https://hooper-lausd-ca.schoolloop.com/
Black Rock Alternative/Continuation,Yucca Valley,92284,https://www.cde.ca.gov/schooldirectory/details?cdscode=36677773630217
Enslen Elementary,Modesto,95354,https://enslen.mcs4kids.com/
Tulsa Street Elementary,Granada Hills,91344,https://tulsaes-lausd-ca.schoolloop.com/
Solano Avenue Elementary,Los Angeles,90012,https://solano-lausd-ca.schoolloop.com/
Chase Street Elementary,Panorama City,91402,https://chasek5.com/
Bell Gardens Intermediate,Bell Gardens,90201,https://bgi-montebellousd-ca.schoolloop.com/
Mulberry Elementary,Brawley,92227,http://www.mulberrymustangs.org/
Apricot Valley Elementary,Patterson,95363,https://apricotvalley.patterson.k12.ca.us/
Red Bluff Community Day,Red Bluff,96080,https://www.cde.ca.gov/schooldirectory/details?cdscode=52716210114801
Benjamin Bubb Elementary,Mountain View,94040,https://bubb.mvwsd.org/
Potter Valley High,Potter Valley,95469,http://www.pottervalleyschools.us/jrsr-high-school.html
Norris Middle,Bakersfield,93312,https://nms.norris.k12.ca.us/
Cesar Chavez Middle,Lynwood,90262,https://cms.lynwood.k12.ca.us/
Middletown Middle,Middletown,95461,https://mms.middletownusd.org/
Cesar E. Chavez Lrng Acads-Soc Just Humanitas Acad,San Fernando,91340,https://ccla-lausd-ca.schoolloop.com/
Peach Hill Academy,Moorpark,93021,https://phs-moorpark-ca.schoolloop.com/
Eunice Sato Academy of Math & Science,Long Beach,90815,https://sato-lbusd-ca.schoolloop.com/
Vista Preparatory Academy,Red Bluff,96080,https://vista.rbuesd.org/
Mariposa County High,Mariposa,95338,https://www.mcusd.org/MCH/
Sharp Avenue Elementary,Arleta,91331,https://sharpes-lausd-ca.schoolloop.com/
Greendell,Palo Alto,94303,https://greendell.pausd.org/
Santa Teresa Elementary,San Jose,95119,https://santateresa.ogsd.net/
John F. Kennedy High,Richmond,94804,https://www.wccusd.net/kennedy
Owens Valley Elementary,Independence,93526,https://www.ovusd.org/
Leroy Anderson Elementary,San Jose,95117,https://anderson.moreland.org/
Century Park Elementary,Inglewood,90303,https://centuryparkes-lausd-ca.schoolloop.com/
Katherine Finchy Elementary,Palm Springs,92262,https://www.psusd.us/kfes
Dolores Huerta Elementary,Los Angeles,90011,https://huertaes-lausd-ca.schoolloop.com/
Romoland Elementary,Romoland,92585,https://www.romoland.net/Domain/12
John Fremont Elementary,Modesto,95350,https://fremont.mcs4kids.com/
Oakdale Heights Elementary,Oroville,95966,https://www.ocesd.net/o/oakdale-heights-elementary
Peter Johansen High,Modesto,95357,https://johansen.mcs4kids.com/
Tuolumne Elementary,Modesto,95351,https://tuolumne.mcs4kids.com/
La Loma Junior High,Modesto,95354,https://laloma.mcs4kids.com/
George C. Payne Elementary,San Jose,95130,https://www.greatschools.org/california/san-jose/5567-George-C.-Payne-Elementary-School/
Almond Grove Elementary,Oakley,94561,https://ag-ouesd-ca.schoolloop.com/
New Technology High,Napa,94559,https://www.newtechhigh.org/
William M. Metteer Elementary,Red Bluff,96080,https://www.greatschools.org/california/red-bluff/7389-William-M.-Metteer-Elementary-School/
Welby Way Charter Elem Sch And Gifted-High Ability Magnet,West Hills,91307,http://welbyway.org/
Millikan High,Long Beach,90815,https://lbmillikan.schoolloop.com/
Alexander Hamilton Senior High,Los Angeles,90034,https://hamiltonhs-lausd-ca.schoolloop.com/
Yucca Valley Elementary,Yucca Valley,92284,https://www.morongousd.com/yuccavalleyelementaryschool_home.aspx
Campus Park Elementary,Livingston,95334,https://cp.livingstonusd.org/
Jackson Elementary,Riverside,92503,http://jackson.riversideunified.org/
Daves Avenue Elementary,Los Gatos,95030,https://daves.lgusd.org/
Bushnell Way Elementary,Los Angeles,90042,https://bushnell-lausd-ca.schoolloop.com/
Lindbergh STEM Academy,Long Beach,90805,https://lblindbergh.schoolloop.com/
Pio Pico Middle,Los Angeles,90019,https://www.piopicoms.org/
Ruby Drive Elementary,Placentia,92870,https://rubydrive.org/
Rio Del Oro Elementary,Plumas Lake,95961,http://rdo.plusd.org/
Samuel Gompers Middle,Los Angeles,90061,https://gompersms-lausd-ca.schoolloop.com/
Perris High,Perris,92571,https://www.phs.puhsd.org/
O'Melveny Elementary,San Fernando,91340,https://omelvenyes-lausd-ca.schoolloop.com/
Albion Street Elementary,Los Angeles,90031,https://albion-lausd-ca.schoolloop.com/
Linda Esperanza Marquez High C School of Social Justice,Huntington Park,90255,https://ssjmhs.marquezhs.net/
Compton Avenue Elementary,Los Angeles,90002,https://www.comptonavenue.org/
Manteca Community Day (7-12),Manteca,95337,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39685933930328
Moreno Valley Community Learning Center,Moreno Valley,92553,https://www.cde.ca.gov/schooldirectory/details?cdscode=33671243330685
San Martin Gwinn Environmental Science Academy,San Martin,95046,https://smg.mhusd.org/
Holmes Elementary,Lakewood,90712,https://hol-lbusd-ca.schoolloop.com/
Mesa View Elementary,Romoland,92585,https://www.romoland.net/Domain/11
Lo-Inyo Elementary,Lone Pine,93545,https://lo-inyo-lpusd-ca.schoolloop.com/
Fourth Street Primary Center,Los Angeles,90022,https://4thstpc-lausd-ca.schoolloop.com/
Menifee Preschool,Menifee,92584,https://www.menifeeusd.org/pre/
Joe Stefani,Merced,95348,https://www.mcsd.k12.ca.us/Stefani
Lakeview Elementary,Santa Fe Springs,90670,https://lakeview.llcsd.net/
Warner Avenue Elementary,Los Angeles,90024,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/
Nevada City Charter,Nevada City,95959,https://charter.ncsd.school/
Louise Van Meter Elementary,Los Gatos,95032,https://lvm.lgusd.org/
Desert Willow Fine Arts Sci and Tech Magnet Acad,Palmdale,93550,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648570105981
Yorba Linda Middle,Yorba Linda,92886,https://www.ylms.org/
Christa McAuliffe Middle,Stockton,95209,https://mcauliffe.lodiusd.net/
Madera South High,Madera,93637,https://www.madera.k12.ca.us/mshs
Pleasant Valley Elementary,San Miguel,93451,https://www.pleasant-valley-school.org/
Vine Street Elementary,Los Angeles,90038,https://vinestreetschool.jimdofree.com/
Pinole Valley High,Pinole,94564,https://www.wccusd.net/pinolevalley
