Almanor High (Continuation),Chester,96020,None
Walter J. Katnich Community Day,Lodi,95242,None
Manteca Community Day (7-12),Manteca,95337,None
Moreno Valley Community Learning Center,Moreno Valley,92553,None
Desert Willow Fine Arts Sci and Tech Magnet Acad,Palmdale,93550,None
Kennedy Elementary,Lindsay,93247,None
Sonoma Mountain High (Continuation),Petaluma,94954,None
Lincoln Elementary,Lindsay,93247,None
Special Education-Infant/Preschool Program,Los Angeles,90017,None
Loconoma Valley High,Middletown,95461,None
Alliance Academy,Oakland,94603,None
Albert Einstein Continuation,North Hills,91343,None
Guy Jr. Emanuele Elementary,Union City,94587,None
Ocotillo Elementary,Palmdale,93551,None
Eagle Prairie Elementary,Rio Dell,95562,None
Delta Keys Charter,Lathrop,95330,None
Ocean Shores High (Continuation),Oceanside,92054,None
South Coast Continuation,Point Arena,95468,None
Open Valley Independent Study,Patterson,95363,None
Pomona Alternative,Pomona,91767,None
David G. Millen Law and Government Magnet Academy,Palmdale,93551,None
Cimarron Elementary,Palmdale,93552,None
Ojai Independent,Ojai,93023,None
Buena Vista Elementary,Palmdale,93552,None
Haydock Academy of Arts & Sciences,Oxnard,93033,None
McFarland Independent,McFarland,93250,None
Lynwood Alternative,Lynwood,90262,None
Berry Creek Elementary,Berry Creek,95916,None
Mesquite Elementary,Palmdale,93552,None
Palmdale Learning Plaza,Palmdale,93551,None
CDS Elementary,Chatsworth,91311,None
High Desert Community Day,Alturas,96101,None
Park View Elementary,Ripon,95366,None
Wilson Elementary,El Cerrito,94530,None
Loleta Elementary,Loleta,95551,None
Transitional Kindergarten Center,Los Banos,93635,None
Minnie Cannon Elementary,Middletown,95461,None
La Entrada High,Yorba Linda,92886,None
Delta Bridges Charter,Stockton,95207,None
Hillside Junior/Senior High,Pine Valley,91962,None
Oak Tree Community Day,Palmdale,93550,None
Pond Elementary,Wasco,93280,None
ROOTS International Academy,Oakland,94621,None
Educational Training Center,Needles,92363,None
