George Visual and Performing Arts Magnet and Middle,Adelanto,92301,https://www.aesd.net/gms/home
Elsinore Middle,Lake Elsinore,92530,https://ems.leusd.k12.ca.us/
Wicklund Elementary,Mountain House,95391,https://wes.lammersvilleschooldistrict.net/
Cox Bar Elementary,Big Bar,96010,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=53716880000000
Frederick Joyce Elementary,North Highlands,95660,http://joyce.twinriversusd.org/
eCademy Charter at Crane,Turlock,95380,https://www.turlock.k12.ca.us/ecademy
Raymond Granite High,Raymond,93653,https://www.greatschools.org/california/raymond/16970-Raymond-Granite-High-School/
Coast Union High,Cambria,93428,https://coastunion.coastusd.org/
Eucalyptus Elementary,Hesperia,92345,https://www.eucalyptuselementary.org/
Pine Grove Youth Conservation Camp,Pine Grove,95665,https://www.cdcr.ca.gov/juvenile-justice/facility-locations/youth-conservation-camps/
Warner Junior/Senior High,Warner Springs,92086,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37754163730975
Hillsdale Elementary,North Highlands,95660,http://hillsdale.twinriversusd.org/
Creative Connections Arts Academy,North Highlands,95660,http://ccaa.twinriversusd.org/
Carver (Charles J.) Elementary,Cerritos,90703,https://www.carveres.us/
LA's Promise Charter High #1,Los Angeles,90062,https://lapchs.org/
Juarez (Benito) Elementary,Cerritos,90703,https://www.greatschools.org/california/cerritos/1419-Juarez-Benito-Elementary-School/
Northwood Elementary,Sacramento,95815,http://northwood.twinriversusd.org/
Norman G. Ambrosini Elementary,Fortuna,95540,https://ae-fesd-ca.schoolloop.com/
Crete Academy,Los Angeles,90043,https://www.creteacademy.org/
Uncharted Shores Academy,Crescent City,95531,https://shoresacademy.com/
Shivela Middle,Murrieta,92562,https://www.murrieta.k12.ca.us/shivela
Vivian Banks Charter,Pala,92059,https://vb.bonsallusd.com/
Mendota Elementary,Mendota,93640,https://mns.musdaztecs.com/
Rio Vista School of Applied Learning,Apple Valley,92308,https://www.cde.ca.gov/schooldirectory/details?cdscode=36750776110605
Bryant Middle,Dos Palos,93620,https://bms.dpol.net/
Victory High,Rocklin,95765,https://vhs.rocklinusd.org/
San Francisco County ROP,San Francisco,94121,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=38745340000000
