Walt Tyler Elementary,Grizzly Flat,95636,None
Mountain Vista Educational Center,Madera,93637,None
Adelante High,Kettleman City,93239,None
Danny J. Bakewell Sr. Primary Center,Los Angeles,90044,None
Palermo Union Community Day (K-8),Palermo,95968,None
Chaparral Elementary,Palmdale,93550,None
Slater Special Education Preschool,Mountain View,94043,None
Harding Elementary,El Cerrito,94530,None
Summerwind Elementary,Palmdale,93551,None
Summit High (Continuation),Concord,94521,None
Cleveland Elementary,Pasadena,91103,None
Mountain Creek Middle,Somerset,95684,None
Manzanita Elementary,Palmdale,93550,None
Sun View Elementary,Huntington Beach,92647,None
Tumbleweed Elementary,Palmdale,93550,None
Arbuckle Alternative High (Continuation),Arbuckle,95912,None
Yucca Elementary,Palmdale,93550,None
John Gill Elementary,Redwood City,94062,None
Jackson Elementary,Altadena,91001,None
Adelante Spanish Immersion,Redwood City,94061,None
Centerville High (Continuation),Potter Valley,95469,None
Palermo Special Education Preschool,Palermo,95968,None
Pleasant View,Huntington Beach,92647,None
Vandenberg Middle,Vandenberg Air Force Base,93437,None
Redding Community Day,Redding,96001,None
Infant and Preschool Program,Oakland,94605,None
Cactus Medical Health and Technology Magnet Academy,Palmdale,93550,None
Warner High,Alturas,96101,None
Future Bound Independent Study Secondary,Ramona,92065,None
Shadow Hills Engineering and Design Magnet Academy,Palmdale,93552,None
NU Tech High,Grass Valley,95945,None
Coulterville High,Coulterville,96311,None
Buena Vista Community Day,Porterville,93257,None
RISE Academy,Petaluma,94952,None
John Hope Continuation,Los Angeles,90003,None
Palermo,Palermo,95968,None
Moreno Valley Bridge Academy,Moreno Valley,92553,None
Newman-Crows Landing Independent Study,Newman,95360,None
Los Amigos - Dual Immersion,Palmdale,93552,None
Rim Virtual,Blue Jay,92317,None
LASD Preschool,Los Altos,94024,None
Cottonwood Community Day,Pine Valley,91962,None
Lost Hills Elementary,Lost Hills,93249,None
Spring Hill High (Continuation),Mariposa,95338,None
Monte Rio Elementary,Monte Rio,95462,None
Reef-Sunset Secondary Community Day,Avenal,93204,None
Special Education Preschool DIS,Stockton,95209,None
New Highland Academy,Oakland,94621,None
A. M. Thomas Middle,Lost Hills,93249,None
Fair Oaks Elementary,Redwood City,94063,None
Yellen Learning Center,Palmdale,93552,None
MPUSD Preschool,Seaside,93955,None
ROP Center,Los Angeles,90017,None
Yosemite Park High,Yosemite,95389,None
Campo High (Continuation),Pine Valley,91962,None
