Modoc High,Alturas,96101,http://mhs.modoc.k12.ca.us/
Boron Junior-Senior High,Boron,93516,http://muroc.k12.ca.us/boron/
Canfield Avenue Elementary,Los Angeles,90035,http://www.lausd.k12.ca.us/Canfield_EL/
Wildwood Elementary,Piedmont,94611,http://www.piedmont.k12.ca.us/wildwood/
One Hundred Twenty-Second Street Elementary,Los Angeles,90061,https://122ndes-lausd-ca.schoolloop.com/
Gussie M. Baker Elementary,San Jose,95130,https://baker.moreland.org/
Cesar Chavez Elementary,East Palo Alto,94303,https://ccagoa.weebly.com/
Chatsworth Park ES Urban Planning/Comm Development Magnet,Chatsworth,91311,https://chatsworth-lausd-ca.schoolloop.com/
Columbus Avenue,Van Nuys,91405,https://columbusavees-lausd-ca.schoolloop.com/
Crestwood Street Elementary,Rancho Palos Verdes,90275,https://crestwood-lausd-ca.schoolloop.com/
Donaldson Way Elementary,American Canyon,94589,https://dwes-nvusd-ca.schoolloop.com/
Elkhorn,Stockton,95209,https://elkhorn.lodiusd.net/
Frost (Earl) Elementary,San Jose,95123,https://frost.ogsd.net/
Isaac Newton Graham Middle,Mountain View,94040,https://graham.mvwsd.org/
Golden Valley High,Merced,95344,https://gvhs.muhsd.org/gvhs
Arthur Hapgood Elementary,Lompoc,93438,https://hapgoodelementary.lusd.org/
Herman (Leonard) Intermediate,San Jose,95123,https://herman.ogsd.net/
Highlands Elementary,Concord,94521,https://hies-mdusd-ca.schoolloop.com/
Independence High (Alternative),Merced,95340,https://ihs.muhsd.org/ihs
Itliong-Vera Cruz,Union City,94587,https://ivcms.org/
Milor Continuation High,Rialto,92376,https://kec.rialto.k12.ca.us/mhs
Georgia Morris Elementary,Colton,92324,https://kec.rialto.k12.ca.us/morris
Frank Lanterman,Los Angeles,90007,https://lantermanhs-lausd-ca.schoolloop.com/
Diane S. Leichman Career Preparatory and Transition Center,Reseda,91335,https://leichman-lausd-ca.schoolloop.com/
Limerick Avenue Elementary,Canoga Park,91306,https://limerickes-lausd-ca.schoolloop.com/
Mar Vista Elementary,Aptos,95003,https://marvista.pvusd.net/cms/day?d=x&group_id=1323005758569&day_id=997340400000&return_url=1476492731558
William M. Metteer Elementary,Red Bluff,96080,https://metteer.rbuesd.org/2020-2021-School-Year/
Margaret White Elementary,Blythe,92225,https://mwes.pvusd.us/
New Jerusalem Online,Tracy,95304,https://njes-njesd-ca.schoolloop.com/
Novato Early Intervention,Novato,94947,https://nusd.org/educational-services/special-education/early-intervention/
Park Avenue Elementary,Cudahy,90201,https://parkavees-lausd-ca.schoolloop.com/
George C. Payne Elementary,San Jose,95130,https://payne.moreland.org/
Potrero Heights Elementary,South San Gabriel,91770,https://phe-montebellousd-ca.schoolloop.com/
Pleasant Hill Middle,Pleasant Hill,94503,https://plhms-mdusd-ca.schoolloop.com/
Theodore Roosevelt,Paramount,90723,https://roosevelt.pusdschools.net/
Rosewood Park,City Of Commerce,90040,https://rpe-montebellousd-ca.schoolloop.com/
Thomas Russell Middle,Milpitas,95035,https://russell.musd.org/
CDS Secondary,Los Angeles,90021,https://secondarycds-lausd-ca.schoolloop.com/
Taylor (Bertha) Elementary,San Jose,95123,https://taylor.ogsd.net/
Twin Palms Continuation,Blythe,92225,https://tp.pvusd.us/
Warner Avenue Elementary,Los Angeles,90024,https://warneravenueelementary.com/
Washington Elementary,Lindsay,93247,https://washington.lindsay.k12.ca.us/
Joseph Pomeroy Widney Career Prep and Transition Center,Los Angeles,90018,https://widneyhs-lausd-ca.schoolloop.com/
Wilmington Mid Sci Tech Engr Arts Math (STEAM) Magnet,Wilmington,90744,https://wilmingtonms.org/
One Hundred Sixteenth Street Elementary,Los Angeles,90059,https://www.116elementary.org/
Georgina P. Blach Junior High,Los Altos,94024,https://www.blachschool.org/
John Burroughs Middle,Los Angeles,90005,https://www.burroughsms.org/
Figueroa Street Elementary,Los Angeles,90044,https://www.figueroa-elem.com/
Porter Ranch Community,Porter Ranch,91326,https://www.goprcs.org/enrollment-info
Leo R. Croce Elementary,Livermore,94551,https://www.livermoreschools.org/croce
San Luis High (Continuation),Los Banos,93635,https://www.losbanosusd.k12.ca.us/eo/Department/San-Luis-High-School
Yosemite National Park El Portal,El Portal,95318,https://www.mcusd.org/EPS/
Hans Christensen Middle,Menifee,92586,https://www.menifeeusd.org/hcms/
Black Rock Alternative/Continuation,Yucca Valley,92284,https://www.morongousd.com/blackrockhighschool_home.aspx
Kimball,National City,91950,https://www.nsd.us/Domain/12
Marina West Elementary,Oxnard,93035,https://www.oxnardsd.org/marinawest
Honcut,Oroville,95966,https://www.palermoschools.org/o/honcut
Pathways for Adult Life Skills,Perris,92570,https://www.pals.puhsd.org/8/home
Longfellow (Henry W.) Elementary,Pasadena,91104,https://www.pusd.us/longfellow
Red Bluff Community Day,Red Bluff,96080,https://www.rbuesd.org/2020-2021-School-Year/
Rincon Valley Partnership,Santa Rosa,95405,https://www.rvusd.org/o/rvp
John A. Sutter Middle,Canoga Park,91306,https://www.sutterms.org/
